2,2,1,2,2,2,3,2,2,2,2,1,1,1,3,1,2,3,3,1,2,1,2,2,1,3,2,2,3,3,2,2,2,3,3,2,1,2,1,3,2,2,1,1,2,1,1,1,3,1,3,3,1,2,2,3,1,2,2,1,1,1,2,2,1,3,3,2,2,2,1,3,3,3,3,3,2,1,1,3,2,2,3,2,3,3,2,3,1
11.64,12.34,14.38,13.67,11.96,12.69,13.17,11.82,12.0,12.07,11.46,14.1,13.51,13.68,13.16,13.07,13.05,12.58,14.13,13.3,12.08,12.85,11.82,12.37,13.86,13.5,12.51,12.42,12.81,13.23,11.65,12.37,12.52,12.82,14.34,12.17,13.63,12.08,13.41,13.62,11.61,12.0,13.82,13.39,13.03,13.24,13.5,14.37,13.08,13.94,12.88,13.4,13.73,11.56,11.03,13.17,14.83,12.33,12.37,13.2,13.29,13.71,12.64,12.37,14.06,13.4,13.36,12.16,11.81,13.34,13.05,13.52,12.45,13.84,12.84,13.88,12.6,14.06,13.05,12.51,13.86,12.04,12.25,12.7,12.7,12.53,13.49,12.93,13.05
2.06,2.45,3.59,1.25,1.09,1.53,2.59,1.47,3.43,2.16,3.74,2.16,1.8,1.83,3.57,1.5,3.86,1.29,4.1,1.72,2.08,1.6,1.72,1.17,1.35,3.12,1.73,4.43,2.31,3.3,1.67,1.07,2.43,3.37,1.68,1.45,1.81,1.13,3.84,4.95,1.35,0.92,1.75,1.77,0.9,3.98,1.81,1.95,3.9,1.73,2.99,4.6,1.5,2.05,1.51,5.19,1.64,1.1,1.63,1.78,1.97,1.86,1.36,1.13,2.15,3.91,2.56,1.61,2.12,0.94,1.73,3.17,3.03,4.12,2.96,5.04,1.34,1.63,2.05,1.24,1.51,4.3,3.88,3.87,3.55,5.51,1.66,2.81,1.65
2.46,2.46,2.28,1.92,2.3,2.26,2.37,1.99,2.0,2.17,1.82,2.3,2.65,2.36,2.15,2.1,2.32,2.1,2.74,2.14,1.7,2.52,1.88,1.92,2.27,2.62,1.98,2.73,2.4,2.28,2.62,2.1,2.17,2.3,2.7,2.53,2.7,2.51,2.12,2.35,2.7,2.0,2.42,2.62,1.71,2.29,2.61,2.5,2.36,2.27,2.4,2.86,2.7,3.23,2.2,2.32,2.17,2.28,2.3,2.14,2.68,2.36,2.02,2.16,2.61,2.48,2.35,2.31,2.74,2.36,2.04,2.72,2.64,2.38,2.61,2.23,1.9,2.28,3.22,2.25,2.67,2.38,2.2,2.4,2.36,2.64,2.24,2.7,2.55
21.6,21.0,16.0,18.0,21.0,20.7,20.0,20.8,19.0,21.0,19.5,18.0,19.0,17.2,21.0,15.5,22.5,20.0,24.5,17.0,17.5,17.8,19.5,19.6,16.0,24.0,20.5,26.5,24.0,18.5,26.0,18.5,21.0,19.5,25.0,19.0,17.2,24.0,18.8,20.0,20.0,19.0,14.0,16.1,16.0,17.5,20.0,16.8,21.5,17.4,20.0,25.0,22.5,28.5,21.5,22.0,14.0,16.0,24.5,11.2,16.8,16.6,16.8,19.0,17.6,23.0,20.0,22.8,21.5,17.0,12.4,23.5,27.0,19.5,24.0,20.0,18.5,16.0,25.0,17.5,25.0,22.0,18.5,23.0,21.5,25.0,24.0,21.0,18.0
84.0,98.0,102.0,94.0,101.0,80.0,120.0,86.0,87.0,85.0,107.0,105.0,110.0,104.0,102.0,98.0,85.0,103.0,96.0,94.0,97.0,95.0,86.0,78.0,98.0,123.0,85.0,102.0,98.0,98.0,88.0,88.0,88.0,88.0,98.0,104.0,112.0,78.0,90.0,92.0,94.0,86.0,111.0,93.0,86.0,103.0,96.0,113.0,113.0,108.0,104.0,112.0,101.0,119.0,85.0,93.0,97.0,101.0,88.0,100.0,102.0,101.0,100.0,87.0,121.0,102.0,89.0,90.0,134.0,110.0,92.0,97.0,97.0,89.0,101.0,80.0,88.0,126.0,124.0,85.0,86.0,80.0,112.0,101.0,106.0,96.0,87.0,96.0,98.0
1.95,2.56,3.25,2.1,3.38,1.38,1.65,1.98,2.0,2.6,3.18,2.95,2.35,2.42,1.5,2.4,1.65,1.48,2.05,2.4,2.23,2.48,2.5,2.11,2.98,1.4,2.2,2.2,1.15,1.8,1.92,3.52,2.55,1.48,2.8,1.89,2.85,2.0,2.45,2.0,2.74,2.42,3.88,2.85,1.95,2.64,2.53,3.85,1.41,2.88,1.3,1.98,3.0,3.18,2.46,1.74,2.8,2.05,2.22,2.65,3.0,2.61,2.02,3.5,2.6,1.8,1.4,1.78,1.6,2.53,2.72,1.55,1.9,1.8,2.32,0.98,1.45,3.0,2.63,2.0,2.95,2.1,1.38,2.83,1.7,1.79,1.88,1.54,2.45
1.69,2.11,3.17,1.79,2.14,1.46,0.68,1.6,1.64,2.65,2.58,3.32,2.53,2.69,0.55,2.64,1.59,0.58,0.76,2.19,2.17,2.37,1.64,2.0,3.15,1.57,1.92,2.13,1.09,0.83,1.61,3.75,2.27,0.66,1.31,1.75,2.91,1.58,2.68,0.8,2.92,2.26,3.74,2.94,2.03,2.63,2.61,3.49,1.39,3.54,1.22,0.96,3.25,5.08,2.17,0.63,2.98,1.09,2.45,2.76,3.23,2.88,1.41,3.1,2.51,0.75,0.5,1.69,0.99,1.3,3.27,0.52,0.58,0.83,0.6,0.34,1.36,3.17,2.68,0.58,2.86,1.75,0.78,2.55,1.2,0.6,1.84,0.5,2.43
0.48,0.34,0.27,0.32,0.13,0.58,0.53,0.3,0.37,0.37,0.24,0.22,0.29,0.42,0.43,0.28,0.61,0.53,0.56,0.27,0.26,0.26,0.37,0.27,0.22,0.22,0.32,0.43,0.27,0.61,0.4,0.24,0.26,0.4,0.53,0.45,0.3,0.4,0.27,0.47,0.29,0.3,0.32,0.34,0.24,0.32,0.28,0.24,0.34,0.32,0.24,0.27,0.29,0.47,0.52,0.61,0.29,0.63,0.4,0.26,0.31,0.27,0.53,0.19,0.31,0.43,0.37,0.43,0.14,0.55,0.17,0.5,0.63,0.48,0.53,0.4,0.29,0.24,0.47,0.6,0.21,0.42,0.29,0.43,0.17,0.63,0.27,0.53,0.29
1.35,1.31,2.19,0.73,1.65,1.62,1.46,1.53,1.87,1.35,3.58,2.38,1.54,1.97,1.3,1.37,1.62,1.4,1.35,1.35,1.4,1.46,1.42,1.04,1.85,1.25,1.48,1.71,0.83,1.87,1.34,1.95,1.22,0.97,2.7,1.03,1.46,1.4,1.48,1.02,2.49,1.43,1.87,1.45,1.46,1.66,1.66,2.18,1.14,2.08,0.83,1.11,2.38,1.87,2.01,1.55,1.98,0.41,1.9,1.28,1.66,1.69,0.62,1.87,1.25,1.41,0.64,1.56,1.56,0.42,2.91,0.55,1.14,1.56,0.81,0.68,1.35,2.1,1.92,1.25,1.87,1.35,1.14,1.95,0.84,1.1,1.03,0.75,1.44
